CountryName	CountryCode	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW						2.768			4.506	15.443	17.100	18.800	20.800	23.000	25.400	28.000	30.900	52.000	58.000	62.000	69.000	74.000	78.900	83.780
Andorra	AND						1.527	3.050	6.886	7.636	10.539		11.260	13.546	26.838	37.606	48.937	70.870	70.040	78.530	81.000	81.000	86.434	94.000	95.900
Afghanistan	AFG											0.005	0.005	0.088	0.106	1.224	2.107	1.900	1.840	3.550	4.000	5.000	5.455	5.900	6.390
Angola	AGO						0.001	0.006	0.018	0.072	0.105	0.136	0.270	0.371	0.465	1.143	1.908	3.200	4.600	6.000	10.000	14.776	16.937	19.100	21.260
Albania	ALB					0.011	0.032	0.049	0.065	0.081	0.114	0.326	0.390	0.972	2.420	6.044	9.610	15.036	23.860	41.200	45.000	49.000	54.656	57.200	60.100
Arab World	ARB					0.017	0.038	0.131	0.262	0.599	1.140	1.561	2.693	3.646	7.007	8.393	11.655	14.206	18.594	21.545	24.536	26.534	29.954	32.342	34.517
United Arab Emirates	ARE					0.103	0.375	3.296	6.908	14.943	23.625	26.272	28.316	29.478	30.131	40.000	52.000	61.000	63.000	64.000	68.000	78.000	85.000	88.000	90.400
Argentina	ARG		0.003	0.030	0.044	0.086	0.142	0.280	0.831	3.284	7.039	9.781	10.882	11.914	16.037	17.721	20.927	25.947	28.113	34.000	45.000	51.000	55.800	59.900	64.700
Armenia	ARM				0.009	0.053	0.095	0.112	0.129	0.971	1.300	1.631	1.960	4.575	4.899	5.253	5.632	6.021	6.210	15.300	25.000	32.000	37.500	41.900	46.300
American Samoa	ASM																								
Antigua and Barbuda	ATG					2.201	2.858	3.481	4.072	5.301	6.482	8.899	12.500	17.229	24.267	27.000	30.000	34.000	38.000	42.000	47.000	52.000	58.000	63.400	64.000
Australia	AUS	1.097	1.769	1.975	2.232	2.760	3.275	16.369	30.813	40.784	46.756	52.689				63.000	66.000	69.450	71.670	74.250	76.000	79.488	79.000	83.000	84.560
Austria	AUT	0.259	0.643	0.765	1.393	1.890	6.909	9.534	15.421	23.044	33.730	39.185	36.560	42.700	54.280	58.000	63.600	69.370	72.870	73.450	75.170	78.740	80.030	80.619	81.000
Azerbaijan	AZE				0.001	0.002	0.006	0.025	0.037	0.099	0.148	0.306	5.000			8.030	11.992	14.540	17.080	27.400	46.000	50.000	54.200	58.700	61.000
Burundi	BDI	0.000	0.000	0.000	0.000	0.000	0.001	0.008	0.016	0.039	0.077	0.106	0.118	0.201	0.349	0.542	0.658	0.700	0.810	0.900	1.000	1.110	1.220	1.300	1.380
Belgium	BEL	0.020	0.100	0.199	0.696	0.992	2.968	4.938	7.887	13.772	29.432	31.288	46.330	49.970	53.860	55.820	59.720	64.440	66.000	70.000	75.000	81.610	80.720	82.170	85.000
Benin	BEN						0.002	0.025	0.048	0.155	0.225	0.363	0.703	0.951	1.183	1.271	1.538	1.790	1.850	2.240	3.130	4.148	4.500	4.900	5.300
Burkina Faso	BFA						0.001	0.019	0.045	0.062	0.077	0.158	0.201	0.373	0.400	0.470	0.633	0.750	0.920	1.130	2.400	3.000	3.725	9.100	9.400
Bangladesh	BGD							0.001	0.004	0.036	0.071	0.130	0.140	0.164	0.199	0.242	1.000	1.800	2.500	3.100	3.700	4.500	5.000	6.630	9.600
Bulgaria	BGR			0.002	0.020	0.120	0.725	1.220	1.845	2.908	5.371	7.612	9.080	12.040	18.130	19.970	27.090	33.640	39.670	45.000	46.230	47.980	51.900	53.062	55.490
Bahrain	BHR					0.346	0.843	1.646	3.218	4.720	6.154	15.039	18.051	21.555	21.459	21.304	28.244	32.910	51.950	53.000	55.000	77.000	88.000	90.000	91.000
"Bahamas, The"	BHS					0.960	1.747	1.363	2.336	3.765	8.000	11.800	18.000	20.000	22.000	25.000	26.000	27.000	31.540	33.880	43.000	65.000	71.748	72.000	76.920
Bosnia and Herzegovina	BIH						0.015	0.059	0.144	0.194	1.083	1.201	2.648	3.965	15.469	21.327	25.122	27.920	34.660	37.740	42.750	47.770	52.780	57.790	60.800
Belarus	BLR				0.000	0.003	0.029	0.049	0.074	0.495	1.860	4.301	8.951				16.200	19.700	23.000	27.430	31.800	39.649	46.910	54.170	59.020
Belize	BLZ					0.045	0.883	1.289	2.092	4.077	5.964		5.684		9.800	17.000	24.000	24.600	26.300	27.200	28.200	30.700	31.000	33.600	38.700
Bermuda	BMU					6.838	16.202	24.189	32.104	39.948	42.950	47.510	52.032	56.522	60.991	65.447	69.900	74.351	82.300	83.250	84.210	88.336	91.299	95.300	96.800
Bolivia	BOL					0.067	0.196	0.448	0.626	0.982	1.443	2.120	3.117	3.509	4.440	5.228	6.201	10.499	12.500	16.800	22.400	30.000	35.340	36.940	39.020
Brazil	BRA	0.003	0.013	0.025	0.038	0.105	0.451	0.786	1.478	2.039	2.871	4.528	9.149	13.208	19.074	21.023	28.178	30.880	33.830	39.220	40.650	45.690	48.560	51.040	57.600
Barbados	BRB					0.008	0.389	0.783	1.970	2.376	3.974	11.936	27.836	39.690	49.800	52.500	55.300	58.200	61.400	64.700	65.100	67.000	70.000	73.000	76.670
Brunei Darussalam	BRN					1.017	3.303	4.831	6.285	7.671	8.996	12.918	15.330	19.595	29.716	36.466	42.186	44.680	46.000	49.000	53.000	56.000	60.273	64.500	68.770
Bhutan	BTN									0.138	0.401	0.865	1.676	2.437	3.157	3.847	4.518	5.920	6.550	7.170	13.600	21.000	24.000	29.900	34.370
Botswana	BWA	0.000				0.065	0.157	0.308	0.602	1.122	2.903	3.431	3.386	3.345	3.305	3.263	4.290	5.280	6.250	6.150	6.000	8.000	11.500	15.000	18.500
Central African Republic	CAF						0.006	0.014	0.028	0.041	0.053	0.079	0.129	0.152	0.223	0.268	0.311	0.376	1.000	1.800	2.000	2.200	3.000	3.500	4.030
Canada	CAN	0.570	0.916	1.185	2.379	4.164	6.760	15.072	24.897	36.186	51.300	60.200	61.593	64.200	65.956	71.660	72.400	73.200	76.700	80.300	80.300	83.000	83.000	85.800	87.120
Central Europe and the Baltics	CEB			0.149	0.389	0.622	1.068	1.790	3.512	4.959	7.038	10.215	18.194	22.513	29.150	34.647	40.659	45.114	50.483	54.870	58.350	58.857	61.510	63.284	66.929
Switzerland	CHE	1.180	1.752	2.167	2.720	3.552	4.550	15.100	24.800	34.000	47.100	55.100	61.400	65.100	67.800	70.100	75.700	77.200	79.200	81.300	83.900	85.193	85.200	86.340	87.000
Channel Islands	CHI																								
Chile	CHL		0.037	0.072	0.141	0.347	0.683	1.057	1.662	4.103	16.600	19.100	22.100	25.474	28.178	31.175	34.498	35.900	37.300	41.560	45.000	52.250	61.418	66.500	72.350
China	CHN			0.000	0.001	0.005	0.013	0.032	0.169	0.708	1.776	2.640	4.596	6.200	7.300	8.523	10.523	16.000	22.600	28.900	34.300	38.300	42.300	45.800	49.300
Cote d'Ivoire	CIV					0.000	0.008	0.019	0.061	0.119	0.231	0.396	0.498	0.759	0.849	1.039	1.525	1.800	1.900	2.000	2.700	2.900	5.000	8.400	14.600
Cameroon	CMR							0.007	0.013	0.129	0.252	0.277	0.361	0.588	0.976	1.403	2.029	2.930	3.400	3.840	4.300	5.000	5.699	6.400	11.000
"Congo, Rep."	COG						0.004	0.003	0.003	0.017	0.026	0.032	0.157	0.460	1.078	1.463	2.008	2.760	4.288	4.500	5.000	5.600	6.107	6.600	7.110
Colombia	COL				0.107	0.188	0.330	0.551	1.126	1.698	2.208	2.854	4.600	7.389	9.119	11.007	15.342	21.800	25.600	30.000	36.500	40.351	48.980	51.700	52.570
Comoros	COM							0.000	0.038	0.148	0.272	0.443	0.555	0.848	1.327	2.000	2.200	2.500	3.000	3.500	5.100	5.500	5.975	6.500	6.980
Cabo Verde	CPV							0.241	0.473	1.160	1.822	2.685	3.519	4.325	5.319	6.074	6.809	8.283	14.000	21.000	30.000	32.000	34.740	37.500	40.260
Costa Rica	CRI		0.001	0.082	0.280	0.417	0.841	1.640	2.666	3.904	5.800	9.559	19.895	20.334	20.792	22.070	25.100	28.400	32.290	34.330	36.500	39.212	47.500	45.960	49.410
Caribbean small states	CSS					0.194	0.554	0.905	1.944	3.379	4.941	8.358	11.822	14.976	16.891	19.489	22.345	24.494	27.724	31.927	35.819	42.689	43.261	46.294	49.274
Cuba	CUB					0.000	0.032	0.068	0.227	0.315	0.541	1.080	3.771	5.241	8.408	9.738	11.160	11.690	12.940	14.330	15.900	16.017	21.200	27.930	30.000
Curacao	CUW																								
Cayman Islands	CYM			0.000	0.000	3.949										38.034	44.500	52.000	61.000	64.500	66.000	69.466	74.127	74.100	74.100
Cyprus	CYP		0.050	0.056	0.111	0.410	0.673	4.378	8.891	11.342	15.255	18.819	28.320	30.090	33.830	32.810	35.830	40.770	42.310	49.810	52.990	56.860	60.690	65.455	69.330
Czech Republic	CZE			0.581	1.259	1.454	1.940	2.916	3.896	6.833	9.781	14.697	23.930	34.300	35.500	35.270	47.930	51.930	62.970	64.430	68.820	70.490	73.430	74.110	79.710
Germany	DEU	0.250	0.435	0.464	0.923	1.838	3.055	6.711	9.878	20.846	30.216	31.651	48.820	55.900	64.730	68.710	72.160	75.160	78.000	79.000	82.000	81.270	82.350	84.170	86.190
Djibouti	DJI					0.016	0.031	0.083	0.095	0.106	0.195	0.344	0.487	0.626	0.781	0.954	1.270	1.620	2.260	4.000	6.500	7.000	8.267	9.500	10.710
Dominica	DMA					0.549	1.166		2.925	2.932	8.815	13.245	18.425	23.620	30.320	38.544	39.398	40.274	41.160	42.020	47.450	51.314	55.177	59.000	62.860
Denmark	DNK	0.194	0.387	0.578	1.344	3.826	5.715	11.382	22.669	30.592	39.172	42.958	64.250	76.260	80.930	82.740	86.650	85.030	85.020	86.840	88.720	89.810	92.260	94.630	95.990
Dominican Republic	DOM					0.017	0.075	0.143	0.234	1.105	3.705	4.429	6.824	7.898	8.866	11.483	14.845	17.660	20.820	27.720	31.400	38.000	41.200	45.900	49.580
Algeria	DZA				0.000	0.002	0.002	0.010	0.020	0.200	0.492	0.646	1.592	2.195	4.634	5.844	7.376	9.451	10.180	11.230	12.500	14.000	15.228	16.500	18.090
East Asia & Pacific (developing only)	EAP			0.001	0.004	0.013	0.034	0.094	0.324	0.853	1.897	2.779	4.405	5.762	6.885	8.319	10.174	14.382	19.259	23.768	28.956	32.384	36.109	39.393	42.132
East Asia & Pacific (all income levels)	EAS			0.079	0.117	0.210	0.465	1.080	1.883	3.406	5.593	7.252	8.994	10.547	12.597	14.666	16.618	20.766	25.253	29.512	34.229	37.364	40.747	44.413	46.891
Europe & Central Asia (developing only)	ECA				0.024	0.048	0.134	0.286	0.587	1.156	1.965	2.837	5.548	6.645	9.430	10.831	13.298	17.961	22.253	27.194	31.991	37.197	41.565	44.493	48.182
Europe & Central Asia (all income levels)	ECS		0.263	0.318	0.565	1.024	1.843	3.361	5.437	9.245	13.185	16.406	23.059	28.364	32.360	35.226	38.082	43.673	47.357	50.725	56.246	59.226	63.898	66.344	69.203
Ecuador	ECU		0.005	0.016	0.035	0.044	0.086	0.110	0.125	0.823	1.462	2.670	4.261	4.460	4.834	5.994	7.200	10.800	18.800	24.600	29.030	31.367	35.135	40.354	43.000
"Egypt, Arab Rep."	EGY			0.001	0.006	0.031	0.061	0.090	0.148	0.290	0.641	0.839	2.720	4.038	11.920	12.750	13.660	16.030	18.010	20.000	21.600	25.600	26.400	29.400	31.700
Euro area	EMU	0.170	0.326	0.469	0.848	1.702	2.881	5.109	8.018	15.238	22.519	27.345	35.186	42.086	47.473	51.244	54.919	61.365	64.824	67.115	71.022	72.059	74.082	75.811	78.300
Eritrea	ERI			0.000	0.000	0.000	0.000	0.009	0.009	0.025	0.137	0.158	0.227					0.410	0.470	0.540	0.610	0.700	0.800	0.900	0.990
Spain	ESP	0.026	0.077	0.128	0.280	0.381	1.332	2.803	4.362	7.085	13.625	18.149	20.390	39.930	44.010	47.880	50.370	55.110	59.600	62.400	65.800	67.600	69.810	71.635	76.190
Estonia	EST		0.065	0.301	1.160	2.779	3.525	5.706	10.796	14.501	28.577	31.527	41.520	45.320	53.200	61.450	63.510	66.190	70.580	72.500	74.100	76.500	78.390	79.400	84.240
Ethiopia	ETH					0.000	0.002	0.005	0.010	0.013	0.015	0.037	0.072	0.106	0.155	0.220	0.311	0.370	0.450	0.540	0.750	1.100	1.483	1.900	2.900
European Union	EUU	0.172	0.310	0.434	0.827	1.582	2.806	5.120	8.422	14.583	20.557	25.300	35.140	41.823	46.832	50.972	54.546	60.295	64.189	67.215	70.631	71.558	73.699	75.536	78.102
Fragile and conflict affected situations	FCS								0.074	0.125	0.267	0.257	0.649	0.945	1.354	1.868	2.434	3.591	3.641	4.467	6.704	7.455	8.602	10.025	11.531
Finland	FIN	1.397	1.887	2.568	4.915	13.900	16.780	19.459	25.453	32.295	37.248	43.105	62.430	69.220	72.390	74.480	79.660	80.780	83.670	82.490	86.890	88.710	89.880	91.514	92.380
Fiji	FJI			0.007	0.008	0.009	0.064	0.223	0.633	0.942	1.497	1.858	6.153	6.725	7.413	8.454	9.600	10.898	13.000	17.000	20.000	28.000	33.742	37.100	41.800
France	FRA	0.140	0.279	0.591	0.900	1.638	2.584	4.255	6.320	9.125	14.308	26.326	30.180	36.140	39.150	42.870	46.870	66.090	70.680	71.580	77.280	77.820	81.440	81.920	83.750
Faeroe Islands	FRO					0.000	2.319	4.601	11.338	22.298	32.916	43.247	53.299	58.913	66.534	67.903	69.359	75.980	75.570	75.180	75.200	80.732	85.335	90.000	94.660
"Micronesia, Fed. Sts."	FSM						0.278	0.571	1.859	2.798	3.735	4.661	5.570	9.233	11.018	11.881	12.750	13.621	14.490	15.350	20.000	22.800	25.974	27.800	29.650
Gabon	GAB						0.000	0.048	0.170	0.249	1.216	1.348	1.940	2.660	2.979	4.893	5.489	5.767	6.210	6.700	7.230	8.000	8.617	9.200	9.810
United Kingdom	GBR	0.174	0.261	0.520	1.037	1.895	4.124	7.385	13.670	21.294	26.822	33.481	56.480	64.820	65.610	70.000	68.820	75.090	78.390	83.560	85.000	85.380	87.480	89.844	91.610
Georgia	GEO					0.012	0.040	0.061	0.103	0.416	0.485	0.992	1.588	2.559	3.886	6.079	7.527	8.260	10.010	20.070	26.900	31.520	36.940	43.300	48.900
Ghana	GHA					0.000	0.006	0.028	0.032	0.105	0.154	0.200	0.830	1.193	1.717	1.831	2.723	3.850	4.270	5.440	7.800	9.000	10.600	12.300	18.900
Guinea	GIN				0.000	0.001	0.002	0.004	0.006	0.061	0.095	0.176	0.402	0.451	0.509	0.542	0.637	0.780	0.920	0.940	1.000	1.300	1.490	1.600	1.720
"Gambia, The"	GMB					0.009	0.036	0.051	0.206	0.716	0.922	1.337	1.797	2.437	3.308	3.799	5.238	6.205	6.880	7.630	9.200	10.870	12.449	14.000	15.560
Guinea-Bissau	GNB							0.016	0.024	0.118	0.230	0.300	1.023	1.354	1.808	1.901	2.057	2.206	2.355	2.303	2.450	2.672	2.894	3.100	3.320
Equatorial Guinea	GNQ							0.041	0.094	0.097	0.132	0.165	0.321	0.521	0.844	1.150	1.279	1.557	1.820	2.130	6.000	11.500	13.943	16.400	18.860
Greece	GRC	0.049	0.048	0.191	0.378	0.750	1.395	1.850	3.222	6.877	9.139	10.935	14.670	17.800	21.420	24.000	32.250	35.880	38.200	42.400	44.400	51.650	55.070	59.866	63.210
Grenada	GRD	0.000	0.000	0.000	0.000	0.000	0.298	0.991	1.485	2.473	4.064	5.128	14.759	18.645	19.571	20.488	21.396	22.290	23.180	24.050	27.000	30.000	32.000	35.000	37.380
Greenland	GRL				0.065	0.054	1.797	7.955	14.654	21.603	31.748	35.464	44.155	54.534	56.099	57.703	59.362	61.070	62.820	62.830	63.000	64.000	64.896	65.800	66.700
Guatemala	GTM					0.003	0.020	0.095	0.467	0.593	0.712	1.738	3.392	4.549	5.100	5.700	6.500	7.300	8.300	9.300	10.500	12.300	16.000	19.700	23.400
Guam	GUM				0.348	0.660	1.356	2.345	4.501	8.497	16.113	25.380	31.192	33.717	36.162	38.560	43.851	46.150	48.419	50.642	54.040	57.700	61.534	65.400	69.270
Guyana	GUY						0.066	0.132	0.264	3.966	6.611	13.207						13.800	18.200	23.900	29.900	31.000	33.000	35.000	37.350
High income	HIC	0.462	0.594	0.831	1.668	3.079	5.617	8.869	13.364	19.362	26.101	31.418	38.615	43.146	48.160	51.789	54.540	60.095	62.279	63.882	67.574	68.928	74.213	78.141	80.608
"Hong Kong SAR, China"	HKG	0.121	0.850	1.335	2.784	3.219	4.749	10.519	14.546	21.231	27.828	38.671	43.082	52.200	56.400	56.900	60.800	64.800	66.700	69.400	72.000	72.200	72.900	74.200	74.560
Honduras	HND					0.037	0.044	0.171	0.301	0.574	1.204	1.415	2.597	4.800	5.600	6.500	7.800	9.400	9.600	9.800	11.090	15.900	18.120	17.800	19.080
Heavily indebted poor countries (HIPC)	HPC						0.009	0.024	0.044	0.106	0.173	0.258	0.395	0.604	0.915	1.213	1.558	2.427	2.527	3.153	4.930	5.389	6.380	7.332	8.865
Croatia	HRV			0.097	0.268	0.514	0.859	1.730	3.273	4.405	6.645	11.559	17.760	22.750	30.910	33.140	37.980	41.440	44.240	50.580	56.550	57.790	61.940	66.748	68.570
Haiti	HTI						0.007		0.024	0.071	0.231	0.341	0.893	1.647	5.401	6.376	6.796	7.200	7.600	8.100	8.370	9.000	9.800	10.600	11.400
Hungary	HUN	0.003	0.048	0.193	0.484	0.677	0.969	1.942	3.895	5.858	7.000	14.529	16.670	21.630	27.740	38.970	47.060	53.300	61.000	62.000	65.000	68.020	70.580	72.644	76.130
Indonesia	IDN				0.001	0.026	0.057	0.195	0.255	0.444	0.926	2.019	2.134	2.387	2.600	3.602	4.765	5.786	7.917	6.920	10.920	12.280	14.520	14.940	17.140
Isle of Man	IMN																								
India	IND		0.000	0.000	0.001	0.026	0.046	0.071	0.139	0.273	0.528	0.660	1.538	1.686	1.976	2.388	2.805	3.950	4.380	5.120	7.500	10.070	12.580	15.100	18.000
Not classified	INX																								
Ireland	IRL	0.057	0.170	0.281	0.558	1.108	2.199	4.088	8.096	10.934	17.850	23.139	25.850	34.310	36.990	41.610	54.820	61.158	65.340	67.380	69.850	74.890	76.920	78.248	79.690
"Iran, Islamic Rep."	IRN				0.000	0.004	0.016	0.047	0.100	0.379	0.934	1.484	4.626	6.934	7.490	8.100	8.760	9.470	12.020	13.800	15.900	19.000	22.730	29.950	39.350
Iraq	IRQ											0.100	0.500	0.600	0.900	0.900	0.952	0.930	1.000	1.060	2.500	5.000	7.100	9.200	11.300
Iceland	ISL	0.505	1.539	2.668	6.795	11.216	14.806	27.479	36.264	41.295	44.471	49.393	79.120	83.140	83.880	87.000	89.510	90.600	91.000	93.000	93.390	94.820	96.210	96.547	98.160
Israel	ISR	0.215	0.311	0.399	0.577	0.930	2.168	4.399	10.307	13.436	20.874	17.379	17.765	19.593	22.770	25.194	27.881	48.128	59.390	63.120	67.500	68.874	70.800	70.800	71.450
Italy	ITA	0.035	0.070	0.122	0.192	0.524	1.023	2.277	4.559	14.378	23.111	27.222	28.040	29.040	33.240	35.000	37.990	40.790	44.530	48.830	53.680	54.390	55.830	58.459	61.960
Jamaica	JAM				0.037	0.109	0.591	0.798	1.979	2.356	3.116	3.863	6.100	7.800	10.000	12.800	16.400	21.100	23.600	24.300	27.670	37.439	33.790	37.100	40.500
Jordan	JOR					0.023	0.045	0.599	1.306	2.527	2.623	4.706	6.026	8.466	11.659	12.933	13.867	20.000	23.000	26.000	27.200	34.900	37.000	41.000	44.000
Japan	JPN	0.040	0.097	0.401	0.800	1.594	4.373	9.163	13.414	21.391	29.991	38.532	46.594	48.435	62.394	66.921	68.685	74.300	75.400	78.000	78.210	79.054	79.496	89.710	90.580
Kazakhstan	KAZ				0.001	0.011	0.032	0.065	0.131	0.464	0.669	1.006	1.675	2.000	2.650	2.962	3.268	4.020	11.000	18.200	31.600	50.600	53.316	54.000	54.890
Kenya	KEN					0.001	0.009	0.034	0.050	0.114	0.318	0.620	1.208	2.942	3.024	3.102	7.534	7.950	8.670	10.040	14.000	28.000	32.100	39.000	43.400
Kyrgyz Republic	KGZ								0.073	0.205	1.041	3.003	2.999	3.909	5.090	10.534	12.307	14.030	15.700	16.000	16.300	17.500	19.800	23.000	28.300
Cambodia	KHM							0.006	0.016	0.032	0.047	0.077	0.227	0.261	0.300	0.317	0.468	0.490	0.510	0.530	1.260	3.100	4.940	6.800	9.000
Kiribati	KIR								0.617	1.212	1.785	2.337	2.500	3.000	3.500	4.000	4.500	6.000	7.000	8.970	9.070	10.000	10.747	11.500	12.250
St. Kitts and Nevis	KNA						1.946	2.259	3.344	4.400	5.863	7.715	21.152	22.970	24.738	34.000	38.500	43.500	49.200	55.700	63.000	63.200	64.000	64.600	65.400
"Korea, Rep."	KOR	0.046	0.098	0.250	0.311	0.820	1.624	3.601	6.782	23.552	44.700	56.600	59.400	65.500	72.700	73.500	78.100	78.800	81.000	81.600	83.700	83.759	84.070	84.770	84.330
Kosovo																									
Kuwait	KWT			0.091	0.147	0.203	0.856	2.175	3.052	4.756	6.731	8.552	10.249	22.403	22.927	25.926	28.791	34.800	42.000	50.800	61.400	65.769	70.450	75.460	78.700
Latin America & Caribbean (developing only)	LAC		0.014	0.027	0.046	0.099	0.298	0.601	1.174	1.728	3.097	4.721	8.326	10.777	13.976	16.116	20.422	23.104	25.797	30.112	33.138	37.682	41.048	43.937	47.466
Lao PDR	LAO								0.010	0.038	0.111	0.182	0.268	0.334	0.361	0.850	1.170	1.640	3.550	6.000	7.000	9.000	10.748	12.500	14.260
Lebanon	LBN					0.072	0.140	1.241	2.722	5.377	7.953	6.783	7.000	8.000	9.000	10.140	15.000	18.740	22.530	30.140	43.680	52.000	61.250	70.500	74.700
