CountryName	CountryCode	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Liberia	LBR							0.004	0.004	0.011	0.018	0.034	0.033	0.032	0.031			0.551	0.530	2.000	2.300	2.500	2.600	3.200	5.410
Libya	LBY									0.134	0.187	0.367	2.244	2.815	3.533	3.918	4.301	4.722	9.000	10.800	14.000	14.000		16.500	17.760
St. Lucia	LCA					0.306	0.670	0.992	1.305	1.932	5.090	8.182	14.642	20.982	21.395	21.568	24.500	27.900	32.000	36.000	43.300	44.000	45.900	46.200	51.000
Latin America & Caribbean (all income levels)	LCN		0.014	0.030	0.050	0.110	0.309	0.610	1.230	2.052	3.904	5.651	8.887	11.287	14.402	16.630	20.753	23.703	26.500	31.034	34.710	39.350	43.353	46.544	50.153
Least developed countries: UN classification	LDC							0.009	0.021	0.057	0.099	0.145	0.236	0.356	0.555	0.784	1.127	1.956	2.185	2.793	4.471	5.063	5.937	7.146	8.636
Low income	LIC						0.003	0.011	0.026	0.065	0.104	0.151	0.323	0.507	0.687	0.953	1.206	1.404	1.904	2.375	3.288	3.724	4.405	5.608	6.291
Liechtenstein	LIE										36.515	45.117	59.471	58.810	64.007	63.371	64.214	65.080	70.000	75.000	80.000	85.000	89.408	93.800	95.210
Sri Lanka	LKA				0.003	0.005	0.054	0.162	0.296	0.348	0.647	0.794	1.050	1.459	1.446	1.792	2.538	3.880	5.800	8.780	12.000	15.000	18.285	21.900	25.800
Lower middle income	LMC				0.002	0.022	0.039	0.074	0.159	0.274	0.552	0.865	1.591	2.105	2.915	3.675	4.640	5.869	7.347	8.675	11.808	14.425	17.154	19.542	22.555
Low & middle income	LMY				0.011	0.033	0.071	0.144	0.336	0.680	1.378	1.960	3.381	4.372	5.552	6.587	8.157	10.598	13.456	16.259	19.721	22.716	25.625	28.267	31.137
Lesotho	LSO						0.003	0.006	0.011	0.054	0.212	0.261	1.084	1.532	2.176	2.580	2.980	3.445	3.580	3.720	3.860	4.225	4.590	5.000	11.000
Lithuania	LTU						0.277	0.978	1.972	2.923	6.427	7.179	17.690	25.910	31.230	36.220	43.900	49.900	55.220	59.760	62.120	63.640	67.230	68.453	72.130
Luxembourg	LUX		0.153	0.302	0.496	1.591	5.552	7.143	11.746	17.388	22.887	36.163	39.840	54.550	65.880	70.000	72.510	78.920	82.230	87.310	90.620	90.030	91.950	93.777	94.670
Latvia	LVA						0.813	2.053	3.315	4.387	6.319	7.219	21.940	26.980	38.580	46.000	53.630	59.170	63.410	66.840	68.420	69.750	73.120	75.234	75.830
"Macao SAR, China"	MAC				0.037	0.280	0.727	2.364	7.003	9.212	13.609	22.521	25.172	25.742	31.484	34.863	46.400	47.327	49.240	54.000	55.198	60.204	61.310	65.800	69.780
St. Martin (French part)	MAF																								
Morocco	MAR					0.004	0.006	0.022	0.142	0.176	0.694	1.371	2.373	3.353	11.608	15.084	19.771	21.500	33.100	41.300	52.000	46.107	55.416	56.000	56.800
Monaco	MCO										42.185	46.646	48.047	49.491	52.490	55.465	61.476	64.378	67.250	70.100	75.000	80.300	87.000	90.700	92.400
Moldova	MDA				0.001	0.003	0.005	0.028	0.261	0.601	1.283	1.488	3.787	7.408	10.629	14.630	19.621	20.450	23.390	27.500	32.300	38.000	43.370	45.000	46.600
Madagascar	MDG						0.004	0.014	0.063	0.169	0.196	0.223	0.340	0.423	0.525	0.568	0.608	0.650	1.650	1.630	1.700	1.900	2.300	3.000	3.700
Maldives	MDV	0.000	0.000	0.000	0.000	0.000	0.227	0.309	0.570	1.120	2.204	3.617	5.348	5.977	6.588	6.870	11.036	16.300	23.200	24.800	26.530	34.000	38.930	44.100	49.280
Middle East & North Africa (all income levels)	MEA					0.037	0.084	0.228	0.487	0.919	1.693	2.077	3.757	5.129	8.351	9.753	11.792	15.041	18.737	21.598	24.853	27.697	31.270	34.670	38.261
Mexico	MEX	0.006	0.017	0.028	0.043	0.103	0.200	0.627	1.266	1.857	5.081	7.038	11.900	12.900	14.100	17.210	19.520	20.810	21.710	26.340	31.050	37.176	39.750	43.460	44.390
Marshall Islands	MHL	0.000	0.000	0.000	0.000	0.000	0.037			0.966	1.534	1.707	2.335	2.570	3.600	3.879	3.796	3.950	4.600	5.600	7.000	10.000	12.500	14.000	16.800
Middle income	MIC			0.005	0.012	0.034	0.076	0.155	0.363	0.735	1.499	2.134	3.679	4.752	6.036	7.150	8.852	11.556	14.686	17.759	21.508	24.810	28.000	30.778	34.052
"Macedonia, FYR"	MKD					0.041	0.076	0.504	1.003	1.497	2.486	3.468	17.330	19.070	24.440	26.450	28.620	36.300	46.040	51.770	51.900	56.700	57.450	65.240	68.060
Mali	MLI						0.002	0.010	0.020	0.061	0.143	0.186	0.227	0.310	0.433	0.507	0.730	0.810	1.570	1.800	2.000	2.200	2.800	3.500	7.000
Malta	MLT					0.225	1.052	3.921	6.501	7.760	13.114	17.878	28.920	31.640	34.620	41.240	40.410	46.900	50.080	58.860	63.000	68.020	68.200	68.914	73.170
Myanmar	MMR									0.000		0.000	0.000	0.024	0.024	0.065	0.182	0.217	0.220	0.220	0.250	0.980	1.069	1.600	2.100
Middle East & North Africa (developing only)	MNA				0.003	0.013	0.026	0.074	0.158	0.417	0.842	1.141	2.817	4.050	7.417	8.539	9.912	11.848	14.967	17.671	20.619	22.767	25.793	28.970	32.662
Montenegro	MNE														25.350	27.100	28.900	30.800	32.900	35.100	37.500	35.612	56.839	60.310	61.000
Mongolia	MNG					0.009	0.018	0.113	0.146	0.508	1.256	1.653	2.040					9.000	9.800	10.000	10.200	12.500	16.400	20.000	27.000
Northern Mariana Islands	MNP																								
Mozambique	MOZ						0.003	0.012	0.020	0.056	0.110	0.160	0.260	0.420	0.679	0.854	0.843	0.910	1.560	2.680	4.170	4.300	4.849	5.400	5.940
Mauritania	MRT							0.004	0.041	0.118	0.192	0.261	0.363	0.424	0.481	0.670	0.980	1.434	1.870	2.280	4.000	4.500	5.000	6.200	10.700
Mauritius	MUS						0.184	0.476	2.565	4.652	7.282	8.781	10.253	12.187	13.689	15.172	16.700	20.220	21.810	22.510	28.330	34.950	35.420	39.000	41.440
Malawi	MWI							0.005	0.018	0.087	0.127	0.164	0.215	0.279	0.348	0.384	0.425	0.966	0.700	1.070	2.260	3.330	4.351	5.050	5.830
Malaysia	MYS		0.001	0.026	0.100	0.146	0.852	2.307	6.752	12.306	21.385	26.696	32.338	34.971	42.252	48.629	51.638	55.700	55.800	55.900	56.300	61.000	65.800	66.970	67.500
North America	NAC	1.105	1.645	2.165	4.618	8.737	15.469	20.975	29.586	35.882	43.879	50.162	59.057	61.940	64.874	68.328	69.270	74.824	74.267	71.917	72.540	71.043	79.668	84.360	87.338
Namibia	NAM					0.006	0.009	0.059	0.287	0.336	1.645	2.417	2.634	3.360	3.805	4.010	4.399	4.836	5.329	6.500	11.600	12.000	12.941	13.900	14.840
New Caledonia	NCL					0.005	0.253	0.989	1.936	5.688	13.940	18.237	22.390	26.408	30.298	32.359	33.516	35.050	34.510	33.990	42.000	50.000	58.000	66.000	70.000
Niger	NER						0.001	0.002	0.003	0.028	0.036	0.105	0.127	0.156	0.190	0.221	0.294	0.390	0.700	0.760	0.830	1.300	1.408	1.700	1.950
Nigeria	NGA						0.009	0.017	0.025	0.041	0.064	0.090	0.320	0.559	1.286	3.549	5.545	6.770	15.860	20.000	24.000	28.430	32.800	38.000	42.680
Nicaragua	NIC				0.013	0.030	0.084	0.206	0.304	0.498	0.980	1.449	1.715	1.880	2.321	2.566	2.806	3.900	5.300	7.300	10.000	10.600	13.500	15.500	17.600
Netherlands	NLD	0.531	1.320	1.967	3.257	6.473	9.649	14.066	22.244	39.176	43.984	49.373	61.290	64.350	68.520	81.000	83.700	85.820	87.420	89.630	90.720	91.420	92.860	93.956	93.170
High income: nonOECD	NOC		0.051	0.103	0.206	0.325	0.677	1.504	2.662	4.310	6.593	8.917	11.493	15.145	18.898	21.546	25.259	31.417	34.484	38.027	47.439	52.577	62.421	66.956	69.899
Norway	NOR	1.407	2.216	2.784	4.152	6.423	18.250	20.418	22.560	40.000	52.000	64.000	72.840	78.130	77.690	81.990	82.550	86.930	90.570	92.080	93.390	93.490	94.650	95.053	96.300
Nepal	NPL	0.000	0.000	0.000	0.000	0.001	0.005	0.022	0.064	0.147	0.205	0.240	0.313	0.383	0.450	0.827	1.141	1.410	1.730	1.970	7.930	9.000	11.149	13.300	15.440
New Zealand	NZL		0.286	0.631	3.169	4.884	8.042	14.602	31.636	41.494	47.380	53.241	59.081	60.963	61.848	62.720	69.000	69.760	72.030	79.700	80.460	81.230	82.000	82.780	85.500
High income: OECD	OEC	0.475	0.731	1.016	2.051	3.870	7.079	11.051	16.533	23.816	31.871	38.067	46.790	51.586	56.986	60.743	63.229	68.630	70.579	71.627	73.623	73.852	77.770	81.520	83.846
OECD members	OED	0.433	0.668	0.882	1.777	3.348	6.120	9.575	14.332	20.692	27.928	33.451	41.564	45.758	50.552	54.162	56.613	61.881	63.914	65.319	67.619	68.551	72.197	75.751	78.051
Oman	OMN						0.000	0.440	0.863	2.516	3.520	5.894	6.873	7.256	6.759	6.684	8.300	16.680	20.000	26.800	35.828	48.000	60.000	66.450	70.220
Other small states	OSS						0.067	0.132	0.427	0.797	1.651	2.130	2.537	3.276	4.704	4.978	5.687	6.546	7.509	8.156	10.470	12.511	14.508	16.324	18.393
Pakistan	PAK					0.000	0.003	0.028	0.044	0.055		1.319	2.577	5.041	6.164	6.332	6.500	6.800	7.000	7.500	8.000	9.000	9.960	10.900	13.800
Panama	PAN				0.008	0.056	0.220	0.539	2.751	3.837	6.555	7.268	8.518	9.987	11.141	11.484	17.350	22.290	33.820	39.080	40.100	42.700	40.302	44.030	44.920
Peru	PER				0.009	0.033	0.246	0.403	1.190	1.952	3.076	7.579	8.967	11.600	14.100	17.100	20.700	25.200	30.570	31.400	34.770	36.010	38.200	39.200	40.200
Philippines	PHL				0.006	0.029	0.056	0.137	1.103	1.432	1.982	2.524	4.332	4.858	5.244	5.398	5.741	5.970	6.220	9.000	25.000	29.000	36.235	37.000	39.690
Palau	PLW												20.244	21.602	26.970										
Papua New Guinea	PNG						0.002	0.101	0.235	0.667	0.835	0.904	1.322	1.374	1.508	1.716	1.754	1.791	1.150	1.610	1.280	2.000	3.500	6.500	9.380
Poland	POL	0.005	0.052	0.130	0.389	0.648	1.295	2.073	4.102	5.456	7.285	9.901	21.150	24.870	32.530	38.810	44.580	48.600	53.130	58.970	62.320	61.950	62.310	62.849	66.600
Puerto Rico	PRI				0.027	0.135	0.268	1.332	2.648	5.266	10.475	15.630	17.548	19.707	22.131	23.400	25.442	27.860	38.000	41.500	45.300	48.000	69.000	73.900	78.780
"Korea, Dem. Rep."	PRK							0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000
Portugal	PRT	0.100	0.250	0.450	0.719	1.494	2.981	4.953	9.870	14.742	16.430	18.087	19.370	29.670	31.780	34.990	38.010	42.090	44.130	48.270	53.300	55.250	60.340	62.096	64.590
Paraguay	PRY						0.020	0.100	0.195	0.382	0.748	1.099	1.795	2.112	3.452	7.907	7.962	11.210	14.270	18.900	19.800	24.764	29.340	36.900	43.000
Pacific island small states	PSS					0.022	0.131	0.285	0.612	0.871	1.458	1.855	3.996	4.548	5.174	5.583	6.498	7.398	8.697	10.878	12.987	17.508	20.903	22.925	26.633
French Polynesia	PYF						0.091	0.214	1.316	3.449	6.357	6.252	8.200	14.124	17.885	21.542	25.108	28.590	33.870	44.600	49.000	49.000	52.877	56.800	60.680
Qatar	QAT					0.190	0.930	3.084	3.520	4.071	4.864	6.170	10.226	19.242	20.702	24.733	28.974	37.000	44.300	53.100	69.000	69.000	69.300	85.300	91.490
Romania	ROU			0.004	0.026	0.075	0.222	0.445	2.238	2.698	3.614	4.539	6.580	8.900	15.000	21.500	24.660	28.300	32.420	36.600	39.930	40.010	45.880	49.765	54.080
Russian Federation	RUS		0.001	0.013	0.054	0.148	0.270	0.473	0.813	1.019	1.977	2.944	4.128	8.299	12.859	15.227	18.023	24.660	26.830	29.000	43.000	49.000	63.800	67.970	70.520
Rwanda	RWA						0.001	0.002	0.012	0.067	0.063	0.241	0.293	0.357	0.431	0.556		2.115	4.500	7.700	8.000	7.000	8.024	9.000	10.600
South Asia	SAS		0.000	0.000	0.001	0.022	0.041	0.060	0.117	0.226	0.474	0.664	1.463	1.843	2.184	2.547	2.983	3.973	4.417	5.157	7.207	9.396	11.516	13.750	16.610
Saudi Arabia	SAU					0.011	0.027	0.052	0.101	0.494	2.211	4.681	6.385	8.002	10.235	12.705	19.460	30.000	36.000	38.000	41.000	47.500	54.000	60.500	63.700
Sudan	SDN				0.000	0.000	0.000	0.001	0.005	0.009	0.026	0.140	0.439	0.538	0.792	1.292		8.660			16.700	17.304	21.000	22.700	24.640
Senegal	SEN					0.001	0.011	0.027	0.080	0.311	0.404	0.984	1.006	2.101	4.386	4.787	5.612	6.890	7.120	7.500	8.000	9.800	10.800	13.100	17.700
Singapore	SGP	0.162	0.471	0.763	1.185	2.873	8.350	13.472	19.591	24.155	36.000	41.670	47.000	53.838	62.000	61.000	59.000	69.900	69.000	69.000	71.000	71.000	72.000	81.000	82.000
Solomon Islands	SLB					0.025	0.269	0.392	0.508	0.495	0.481	0.469	0.502	0.556	0.650	0.844	1.646	2.000	3.000	4.000	5.000	6.000	6.997	8.000	9.000
Sierra Leone	SLE			0.000	0.000	0.000	0.003	0.005	0.015	0.048	0.118	0.160	0.176	0.190	0.203	0.215	0.228	0.240	0.250	0.260	0.580	0.900	1.300	1.700	2.100
El Salvador	SLV						0.086	0.257	0.425	0.845	1.177	1.500	1.900	2.500	3.200	4.200	5.500	6.110	10.080	12.110	15.900	18.900	20.321	23.109	29.700
San Marino	SMR					1.362	1.428	1.419	1.409	42.803	48.799	50.342	50.835	50.003	50.566	50.260	50.209	50.365	54.520	54.210		49.600			
Somalia	SOM					0.000	0.002	0.003	0.007	0.014	0.020	0.079	0.116	0.376	1.053	1.077	1.100	1.122	1.143	1.161		1.250	1.377	1.500	1.630
Serbia	SRB														23.500	26.300	27.200	33.150	35.600	38.100	40.900	42.200	48.100	51.500	53.500
Sub-Saharan Africa (developing only)	SSA						0.069	0.129	0.234	0.359	0.501	0.641	0.880	1.190	1.581	2.138	3.064	3.827	5.810	7.133	10.016	12.479	14.570	16.871	19.218
South Sudan	SSD																				7.000			14.100	15.900
Sub-Saharan Africa (all income levels)	SSF						0.069	0.129	0.234	0.360	0.501	0.642	0.881	1.191	1.583	2.140	3.066	3.829	5.810	7.129	10.016	12.482	14.573	16.874	19.221
Small states	SST						0.239	0.371	0.882	1.527	2.550	3.780	4.901	6.210	7.694	8.388	9.587	11.110	12.634	14.265	16.889	20.254	21.957	24.026	26.380
Sao Tome and Principe	STP								0.296	0.363	4.639	6.311	7.581	10.162	13.323	13.759	14.182	14.590	15.480	16.410	18.750	20.161	21.572	23.000	24.410
Suriname	SUR					0.115	0.226	1.003	1.670	1.892	2.506	3.064	4.162	4.720	6.076	6.403	9.500	14.110	21.060	31.360	31.590	32.000	34.681	37.400	40.080
Slovak Republic	SVK			0.128	0.319	0.523	0.783	1.173	2.690	5.438	9.427	12.528	40.140	43.040	52.890	55.190	56.080	61.800	66.050	70.000	75.710	74.440	76.710	77.883	79.980
Slovenia	SVN			0.410	1.072	2.899	5.072	7.592	10.105	12.611	15.110	30.176	27.839	31.855	40.810	46.810	54.010	56.740	58.000	64.000	70.000	67.340	68.350	72.676	71.590
Sweden	SWE	1.161	1.498	1.716	3.413	5.098	9.044	23.728	33.468	41.433	45.688	51.766	70.570	79.130	83.890	84.830	87.760	82.010	90.000	91.000	90.000	92.770	93.180	94.784	92.520
Swaziland	SWZ					0.001	0.050	0.089	0.096	0.471	0.926	1.282	1.816	2.437	3.229	3.697	3.697	4.100	6.850	8.940	11.040	18.130	20.782	24.700	27.100
Sint Maarten (Dutch part)	SXM																								
Seychelles	SYC						0.651	1.283	2.526	6.229	7.396	11.015	14.304	14.593	24.272	25.413	34.952	38.380	40.440		41.000	43.164	47.076	50.400	54.260
Syrian Arab Republic	SYR	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.064	0.124	0.182	0.354	2.093	3.398	4.322	5.648	7.833	11.500	14.000	17.300	20.700	22.500	24.300	26.200	28.090
Turks and Caicos Islands	TCA																								
Chad	TCD							0.001	0.004	0.012	0.036	0.046	0.166	0.320	0.361	0.399	0.581	0.847	1.190	1.500	1.700	1.900	2.100	2.300	2.500
Togo	TGO	0.000	0.000	0.000	0.000	0.000	0.011	0.211	0.306	0.590	0.800	0.900	1.000	1.200	1.500	1.800	2.000	2.200	2.400	2.600	3.000	3.500	4.000	4.500	5.700
Thailand	THA	0.000	0.000	0.014	0.039	0.075	0.115	0.361	1.091	2.426	3.689	5.556	7.531	9.299	10.677	15.026	17.161	20.030	18.200	20.100	22.400	23.670	26.460	28.940	34.890
Tajikistan	TJK									0.033	0.049	0.051	0.055	0.065	0.077	0.299	3.772	7.198	8.780	10.070	11.550	13.030	14.510	16.000	17.490
Turkmenistan	TKM									0.045	0.133	0.175	0.302	0.425	0.754	0.997	1.320	1.406	1.750	1.950	3.000	5.000	7.196	9.600	12.200
Timor-Leste	TLS												0.000			0.099	0.117	0.141	0.164	0.185	0.210	0.900	0.915	1.100	1.140
Tonga	TON					0.123	0.164	0.511	0.765	1.018	2.434	2.825	2.907	2.986	3.952	4.908	5.854	7.180	8.111	10.000	16.000	25.000	33.000	35.000	40.000
Trinidad and Tobago	TTO					0.158	0.393	1.173	2.725	5.814	7.721	15.385	21.999	25.972	27.024	28.977	30.004	32.300	34.800	44.300	48.500	55.200	59.516	63.800	65.100
Tunisia	TUN				0.007	0.011	0.028	0.044	0.108	1.602	2.751	4.298	5.253	6.491	8.529	9.655	12.986	17.100	27.530	34.070	36.800	39.100	41.442	43.800	46.160
Turkey	TUR			0.008	0.050	0.082	0.193	0.474	0.699	2.292	3.762	5.189	11.380	12.330	14.580	15.460	18.240	28.630	34.370	36.400	39.820	43.066	45.130	46.250	51.040
Tuvalu	TUV										5.242							10.000	15.000	20.000	25.000	30.000	35.000	37.000	
"Taiwan, China"	TWN																								
Tanzania	TZA						0.002	0.008	0.009	0.075	0.117	0.171	0.222	0.677	0.878	1.100	1.300	1.600	1.900	2.400	2.900	3.200	3.950	4.400	4.860
Uganda	UGA					0.003	0.005	0.010	0.065	0.106	0.164	0.238	0.384	0.465	0.720	1.742	2.529	3.672	7.900	9.780	12.500	13.014	14.690	16.200	17.710
Ukraine	UKR			0.001	0.014	0.043	0.099	0.199	0.301	0.405	0.716	1.239	1.874	3.148	3.489	3.750	4.506	6.550	11.000	17.900	23.300	28.708	35.270	41.000	43.400
Upper middle income	UMC			0.008	0.018	0.045	0.111	0.240	0.580	1.239	2.456	3.527	5.990	7.730	9.554	11.085	13.560	18.050	22.990	28.103	32.805	36.946	40.786	44.068	47.721
Uruguay	URY				0.062	0.310	1.847	3.363	6.987	9.973	10.539	11.121	11.419	15.937	17.063	20.088	29.400	34.000	39.300	41.800	46.400	51.405	54.454	57.690	61.460
United States	USA	1.163	1.724	2.272	4.863	9.237	16.419	21.616	30.093	35.849	43.079	49.081	58.785	61.697	64.758	67.968	68.931	75.000	74.000	71.000	71.690	69.729	79.300	84.200	87.360
Uzbekistan	UZB					0.002	0.004	0.011	0.021	0.031	0.484	0.598	1.082	1.913	2.594	3.344	6.388	7.491	9.080	17.058	20.000	30.200	36.521	38.200	43.550
St. Vincent and the Grenadines	VCT					0.129	0.483	0.926	1.854	2.782	3.245	5.095	5.550	6.462	7.371	9.198	12.000	16.000	21.000	31.000	38.500	43.010	47.520	52.000	56.480
"Venezuela, RB"	VEN		0.012	0.042	0.055	0.122	0.248	0.391	1.384	2.840	3.360	4.636	4.910	7.500	8.404	12.553	15.225	20.830	25.880	32.700	37.370	40.220	49.050	54.900	57.000
Virgin Islands (U.S.)	VIR				0.941	2.802	4.647	6.948	9.245	11.075	13.815	18.376	27.494	27.429	27.377	27.344	27.333	27.339	27.362	27.397	31.220	35.600	40.548	45.300	50.070
Vietnam	VNM						0.000	0.004	0.013	0.129	0.254	1.266	1.855	3.780	7.642	12.740	17.255	20.755	23.920	26.550	30.650	35.070	39.490	43.900	48.310
Vanuatu	VUT						0.057	0.140	0.274	0.538	2.108	2.831	3.510	3.903	4.747	5.082	5.851	6.800	7.269	7.500	8.000	9.200	10.598	11.300	18.800
West Bank and Gaza	PSE										1.111	1.837	3.100	4.131	4.401	16.005	18.410	21.176	24.358	32.230	37.400	41.080	43.400	46.600	53.670
World	WLD			0.254	0.450	0.782	1.334	2.053	3.157	4.654	6.770	8.096	10.586	12.285	14.182	15.800	17.619	20.552	23.287	25.800	29.196	31.824	35.150	37.991	40.689
Samoa	WSM							0.175	0.230	0.285	0.566	1.690	2.245	2.800	3.076	3.353	4.469	4.750	5.032	6.000	7.000	11.000	12.922	15.300	21.200
"Yemen, Rep."	YEM						0.001	0.015	0.023	0.057	0.083	0.091	0.519	0.605	0.881	1.049	1.248	5.010	6.890	9.960	12.350	14.905	17.447	20.000	22.550
South Africa	ZAF	0.013	0.039	0.114	0.247	0.677	0.842	1.632	2.906	4.116	5.349	6.347	6.710	7.008	8.425	7.489	7.607	8.065	8.430	10.000	24.000	33.970	41.000	46.500	49.000
"Congo, Dem. Rep."	COD						0.000	0.000	0.000	0.001	0.006	0.011	0.093	0.135	0.196	0.238	0.296	0.370	0.440	0.560	0.720	1.200	1.680	2.200	3.000
Zambia	ZMB				0.007	0.009	0.009	0.009	0.030	0.147	0.191	0.233	0.478	0.980	2.014	2.852	4.160	4.870	5.550	6.310	10.000	11.500	13.468	15.400	17.340
Zimbabwe	ZWE				0.002	0.008	0.017	0.033	0.082	0.162	0.401	0.800	3.994	6.395	6.564	8.016	9.792	10.850	11.400	11.360	11.500	15.700	17.090	18.500	19.890
