CountryName,Aruba,Andorra,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (developing only),East Asia & Pacific (all income levels),Europe & Central Asia (developing only),Europe & Central Asia (all income levels),Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faeroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kosovo,Kuwait,Latin America & Caribbean (developing only),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean (all income levels),Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa (all income levels),Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (developing only),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,High income: nonOECD,Norway,Nepal,New Zealand,High income: OECD,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. Rep.",Portugal,Paraguay,Pacific island small states,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (developing only),South Sudan,Sub-Saharan Africa (all income levels),Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,"Taiwan, China",Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,West Bank and Gaza,World,Samoa,"Yemen, Rep.",South Africa,"Congo, Dem. Rep.",Zambia,Zimbabwe
CountryCode,ABW,AND,AFG,AGO,ALB,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IDN,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOC,NOR,NPL,NZL,OEC,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSS,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,PSE,WLD,WSM,YEM,ZAF,COD,ZMB,ZWE
Y1991,,,,,,,,,,,,1.097,0.259,,0,0.02,,,,,,,,,,,,0.003,,,,0,,0.57,,1.18,,,,,,,,,,,,,,,,,0.25,,,0.194,,,,,,,,,0.17,,0.026,,,0.172,,1.397,,0.14,,,,0.174,,,,,,,0.049,0,,,,,0.462,0.121,,,,,0.003,,,,,0.057,,,0.505,0.215,0.035,,,0.04,,,,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.006,0,,,,,,,,,,,,,,,1.105,,,,,,0.531,,1.407,0,,0.475,0.433,,,,,,,,,0.005,,,0.1,,,,,,,,,,,,0.162,,,,,,,,,,,,,,,1.161,,,,0,,,0,0,,,,,,,,,,,,,,,1.163,,,,,,,,,,,0.013,,,
Y1992,,,,,,,,0.003,,,,1.769,0.643,,0,0.1,,,,,,,,,,,,0.013,,,,,,0.916,,1.752,,0.037,,,,,,,,0.001,,,,,0.05,,0.435,,,0.387,,,,,,0.263,0.005,,0.326,,0.077,0.065,,0.31,,1.887,,0.279,,,,0.261,,,,,,,0.048,0,,,,,0.594,0.85,,,,,0.048,,,0,,0.17,,,1.539,0.311,0.07,,,0.097,,,,,,,0.098,,,0.014,,,,,,0.014,,,,,,,,,0.153,,,,,,,,0,,0.017,0,,,,,,,,,,,,,,0.001,1.645,,,,,,1.32,0.051,2.216,0,0.286,0.731,0.668,,,,,,,,,0.052,,,0.25,,,,,,0.001,,0,,,,0.471,,,,,,,,,,,,,,,1.498,,,,0,,,0,0,,,,,,,,,,,,,,,1.724,,,0.012,,,,,,,,0.039,,,
Y1993,,,,,,0,,0.03,,,,1.975,0.765,,0,0.199,,,,0.002,,,,,,,,0.025,,,,,,1.185,0.149,2.167,,0.072,0,,,,,,,0.082,,,,0,0.056,0.581,0.464,,,0.578,,,0.001,0.079,,0.318,0.016,0.001,0.469,0,0.128,0.301,,0.434,,2.568,0.007,0.591,,,,0.52,,,,,,,0.191,0,,,,,0.831,1.335,,,0.097,,0.193,,,0,,0.281,,,2.668,0.399,0.122,,,0.401,,,,,,,0.25,,0.091,0.027,,,,,,0.03,,,,,,,,,0.302,,,,,,,,0,,0.028,0,0.005,,,,,,,,,,,,,0.026,2.165,,,,,,1.967,0.103,2.784,0,0.631,1.016,0.882,,,,,,,,,0.13,,,0.45,,,,,0.004,0.013,,0,,,,0.763,,0,,,,,,,,,,,0.128,0.41,1.716,,,,0,,,0,0.014,,,,,,,0.008,,,,,0.001,0.008,,2.272,,,0.042,,,,,0.254,,,0.114,,,
Y1994,,,,,,,,0.044,0.009,,,2.232,1.393,0.001,0,0.696,,,,0.02,,,,0,,,,0.038,,,,,,2.379,0.389,2.72,,0.141,0.001,,,,0.107,,,0.28,,,,0,0.111,1.259,0.923,,,1.344,,0,0.004,0.117,0.024,0.565,0.035,0.006,0.848,0,0.28,1.16,,0.827,,4.915,0.008,0.9,,,,1.037,,,0,,,,0.378,0,0.065,,0.348,,1.668,2.784,,,0.268,,0.484,0.001,,0.001,,0.558,0,,6.795,0.577,0.192,0.037,,0.8,0.001,,,,,,0.311,,0.147,0.046,,,,,,0.05,,,,0.003,0.002,0.011,,,0.496,,0.037,,,,0.001,,0,,0.043,0,0.012,,,,,0.003,,,,,,,,0.1,4.618,,,,,0.013,3.257,0.206,4.152,0,3.169,2.051,1.777,,,,0.008,0.009,0.006,,,0.389,0.027,,0.719,,,,,0.026,0.054,,0.001,,0,,1.185,,0,,,,,,,,,,,0.319,1.072,3.413,,,,0,,,0,0.039,,,,,,0.007,0.05,,,,,0.014,0.018,0.062,4.863,,,0.055,0.941,,,,0.45,,,0.247,,0.007,0.002
Y1995,,,,,0.011,0.017,0.103,0.086,0.053,,2.201,2.76,1.89,0.002,0,0.992,,,,0.12,0.346,0.96,,0.003,0.045,6.838,0.067,0.105,0.008,1.017,,0.065,,4.164,0.622,3.552,,0.347,0.005,0,,,0.188,,,0.417,0.194,0,,3.949,0.41,1.454,1.838,0.016,0.549,3.826,0.017,0.002,0.013,0.21,0.048,1.024,0.044,0.031,1.702,0,0.381,2.779,0,1.582,,13.9,0.009,1.638,0,,,1.895,0.012,0,0.001,0.009,,,0.75,0,0.054,0.003,0.66,,3.079,3.219,0.037,,0.514,,0.677,0.026,,0.026,,1.108,0.004,,11.216,0.93,0.524,0.109,0.023,1.594,0.011,0.001,,,,,0.82,,0.203,0.099,,0.072,,,0.306,0.11,,,,0.005,0.022,0.033,,,1.591,,0.28,,0.004,,0.003,,0,0.037,0.103,0,0.034,0.041,,0.225,,0.013,,0.009,,,,,,0.146,8.737,0.006,0.005,,,0.03,6.473,0.325,6.423,0.001,4.884,3.87,3.348,,,0,0.056,0.033,0.029,,,0.648,0.135,,1.494,,0.022,,0.19,0.075,0.148,,0.022,0.011,0,0.001,2.873,0.025,0,,1.362,0,,,,,,,0.115,0.523,2.899,5.098,0.001,,,0,,,0,0.075,,,,0.123,0.158,0.011,0.082,,,,0.003,0.043,0.045,0.31,9.237,0.002,0.129,0.122,2.802,,,,0.782,,,0.677,,0.009,0.008
Y1996,2.768,1.527,,0.001,0.032,0.038,0.375,0.142,0.095,,2.858,3.275,6.909,0.006,0.001,2.968,0.002,0.001,,0.725,0.843,1.747,0.015,0.029,0.883,16.202,0.196,0.451,0.389,3.303,,0.157,0.006,6.76,1.068,4.55,,0.683,0.013,0.008,,0.004,0.33,,,0.841,0.554,0.032,,,0.673,1.94,3.055,0.031,1.166,5.715,0.075,0.002,0.034,0.465,0.134,1.843,0.086,0.061,2.881,0,1.332,3.525,0.002,2.806,,16.78,0.064,2.584,2.319,0.278,0,4.124,0.04,0.006,0.002,0.036,,,1.395,0.298,1.797,0.02,1.356,0.066,5.617,4.749,0.044,0.009,0.859,0.007,0.969,0.057,,0.046,,2.199,0.016,,14.806,2.168,1.023,0.591,0.045,4.373,0.032,0.009,,,,1.946,1.624,,0.856,0.298,,0.14,,,0.67,0.309,,0.003,,0.054,0.039,0.071,0.003,0.277,5.552,0.813,0.727,,0.006,,0.005,0.004,0.227,0.084,0.2,0.037,0.076,0.076,0.002,1.052,,0.026,,0.018,,0.003,,0.184,,0.852,15.469,0.009,0.253,0.001,0.009,0.084,9.649,0.677,18.25,0.005,8.042,7.079,6.12,0,0.067,0.003,0.22,0.246,0.056,,0.002,1.295,0.268,,2.981,0.02,0.131,0.091,0.93,0.222,0.27,0.001,0.041,0.027,0,0.011,8.35,0.269,0.003,0.086,1.428,0.002,,0.069,,0.069,0.239,,0.226,0.783,5.072,9.044,0.05,,0.651,0,,,0.011,0.115,,,,0.164,0.393,0.028,0.193,,,0.002,0.005,0.099,0.111,1.847,16.419,0.004,0.483,0.248,4.647,0,0.057,,1.334,,0.001,0.842,0,0.009,0.017
Y1997,,3.05,,0.006,0.049,0.131,3.296,0.28,0.112,,3.481,16.369,9.534,0.025,0.008,4.938,0.025,0.019,0.001,1.22,1.646,1.363,0.059,0.049,1.289,24.189,0.448,0.786,0.783,4.831,,0.308,0.014,15.072,1.79,15.1,,1.057,0.032,0.019,0.007,0.003,0.551,0,0.241,1.64,0.905,0.068,,,4.378,2.916,6.711,0.083,,11.382,0.143,0.01,0.094,1.08,0.286,3.361,0.11,0.09,5.109,0.009,2.803,5.706,0.005,5.12,,19.459,0.223,4.255,4.601,0.571,0.048,7.385,0.061,0.028,0.004,0.051,0.016,0.041,1.85,0.991,7.955,0.095,2.345,0.132,8.869,10.519,0.171,0.024,1.73,,1.942,0.195,,0.071,,4.088,0.047,,27.479,4.399,2.277,0.798,0.599,9.163,0.065,0.034,,0.006,,2.259,3.601,,2.175,0.601,,1.241,0.004,,0.992,0.61,0.009,0.011,,0.162,0.074,0.144,0.006,0.978,7.143,2.053,2.364,,0.022,,0.028,0.014,0.309,0.228,0.627,,0.155,0.504,0.01,3.921,,0.074,,0.113,,0.012,0.004,0.476,0.005,2.307,20.975,0.059,0.989,0.002,0.017,0.206,14.066,1.504,20.418,0.022,14.602,11.051,9.575,0.44,0.132,0.028,0.539,0.403,0.137,,0.101,2.073,1.332,0,4.953,0.1,0.285,0.214,3.084,0.445,0.473,0.002,0.06,0.052,0.001,0.027,13.472,0.392,0.005,0.257,1.419,0.003,,0.129,,0.129,0.371,,1.003,1.173,7.592,23.728,0.089,,1.283,0.033,,0.001,0.211,0.361,,,,0.511,1.173,0.044,0.474,,,0.008,0.01,0.199,0.24,3.363,21.616,0.011,0.926,0.391,6.948,0.004,0.14,,2.053,0.175,0.015,1.632,0,0.009,0.033
Y1998,,6.886,,0.018,0.065,0.262,6.908,0.831,0.129,,4.072,30.813,15.421,0.037,0.016,7.887,0.048,0.045,0.004,1.845,3.218,2.336,0.144,0.074,2.092,32.104,0.626,1.478,1.97,6.285,,0.602,0.028,24.897,3.512,24.8,,1.662,0.169,0.061,0.013,0.003,1.126,0.038,0.473,2.666,1.944,0.227,,,8.891,3.896,9.878,0.095,2.925,22.669,0.234,0.02,0.324,1.883,0.587,5.437,0.125,0.148,8.018,0.009,4.362,10.796,0.01,8.422,0.074,25.453,0.633,6.32,11.338,1.859,0.17,13.67,0.103,0.032,0.006,0.206,0.024,0.094,3.222,1.485,14.654,0.467,4.501,0.264,13.364,14.546,0.301,0.044,3.273,0.024,3.895,0.255,,0.139,,8.096,0.1,,36.264,10.307,4.559,1.979,1.306,13.414,0.131,0.05,0.073,0.016,0.617,3.344,6.782,,3.052,1.174,0.01,2.722,0.004,,1.305,1.23,0.021,0.026,,0.296,0.159,0.336,0.011,1.972,11.746,3.315,7.003,,0.142,,0.261,0.063,0.57,0.487,1.266,,0.363,1.003,0.02,6.501,,0.158,,0.146,,0.02,0.041,2.565,0.018,6.752,29.586,0.287,1.936,0.003,0.025,0.304,22.244,2.662,22.56,0.064,31.636,16.533,14.332,0.863,0.427,0.044,2.751,1.19,1.103,,0.235,4.102,2.648,0,9.87,0.195,0.612,1.316,3.52,2.238,0.813,0.012,0.117,0.101,0.005,0.08,19.591,0.508,0.015,0.425,1.409,0.007,,0.234,,0.234,0.882,0.296,1.67,2.69,10.105,33.468,0.096,,2.526,0.064,,0.004,0.306,1.091,,,,0.765,2.725,0.108,0.699,,,0.009,0.065,0.301,0.58,6.987,30.093,0.021,1.854,1.384,9.245,0.013,0.274,,3.157,0.23,0.023,2.906,0,0.03,0.082
Y1999,4.506,7.636,,0.072,0.081,0.599,14.943,3.284,0.971,,5.301,40.784,23.044,0.099,0.039,13.772,0.155,0.062,0.036,2.908,4.72,3.765,0.194,0.495,4.077,39.948,0.982,2.039,2.376,7.671,0.138,1.122,0.041,36.186,4.959,34,,4.103,0.708,0.119,0.129,0.017,1.698,0.148,1.16,3.904,3.379,0.315,,,11.342,6.833,20.846,0.106,2.932,30.592,1.105,0.2,0.853,3.406,1.156,9.245,0.823,0.29,15.238,0.025,7.085,14.501,0.013,14.583,0.125,32.295,0.942,9.125,22.298,2.798,0.249,21.294,0.416,0.105,0.061,0.716,0.118,0.097,6.877,2.473,21.603,0.593,8.497,3.966,19.362,21.231,0.574,0.106,4.405,0.071,5.858,0.444,,0.273,,10.934,0.379,,41.295,13.436,14.378,2.356,2.527,21.391,0.464,0.114,0.205,0.032,1.212,4.4,23.552,,4.756,1.728,0.038,5.377,0.011,0.134,1.932,2.052,0.057,0.065,,0.348,0.274,0.68,0.054,2.923,17.388,4.387,9.212,,0.176,,0.601,0.169,1.12,0.919,1.857,0.966,0.735,1.497,0.061,7.76,0,0.417,,0.508,,0.056,0.118,4.652,0.087,12.306,35.882,0.336,5.688,0.028,0.041,0.498,39.176,4.31,40,0.147,41.494,23.816,20.692,2.516,0.797,0.055,3.837,1.952,1.432,,0.667,5.456,5.266,0,14.742,0.382,0.871,3.449,4.071,2.698,1.019,0.067,0.226,0.494,0.009,0.311,24.155,0.495,0.048,0.845,42.803,0.014,,0.359,,0.36,1.527,0.363,1.892,5.438,12.611,41.433,0.471,,6.229,0.124,,0.012,0.59,2.426,0.033,0.045,,1.018,5.814,1.602,2.292,,,0.075,0.106,0.405,1.239,9.973,35.849,0.031,2.782,2.84,11.075,0.129,0.538,,4.654,0.285,0.057,4.116,0.001,0.147,0.162
Y2000,15.443,10.539,,0.105,0.114,1.14,23.625,7.039,1.3,,6.482,46.756,33.73,0.148,0.077,29.432,0.225,0.077,0.071,5.371,6.154,8,1.083,1.86,5.964,42.95,1.443,2.871,3.974,8.996,0.401,2.903,0.053,51.3,7.038,47.1,,16.6,1.776,0.231,0.252,0.026,2.208,0.272,1.822,5.8,4.941,0.541,,,15.255,9.781,30.216,0.195,8.815,39.172,3.705,0.492,1.897,5.593,1.965,13.185,1.462,0.641,22.519,0.137,13.625,28.577,0.015,20.557,0.267,37.248,1.497,14.308,32.916,3.735,1.216,26.822,0.485,0.154,0.095,0.922,0.23,0.132,9.139,4.064,31.748,0.712,16.113,6.611,26.101,27.828,1.204,0.173,6.645,0.231,7,0.926,,0.528,,17.85,0.934,,44.471,20.874,23.111,3.116,2.623,29.991,0.669,0.318,1.041,0.047,1.785,5.863,44.7,,6.731,3.097,0.111,7.953,0.018,0.187,5.09,3.904,0.099,0.104,36.515,0.647,0.552,1.378,0.212,6.427,22.887,6.319,13.609,,0.694,42.185,1.283,0.196,2.204,1.693,5.081,1.534,1.499,2.486,0.143,13.114,,0.842,,1.256,,0.11,0.192,7.282,0.127,21.385,43.879,1.645,13.94,0.036,0.064,0.98,43.984,6.593,52,0.205,47.38,31.871,27.928,3.52,1.651,,6.555,3.076,1.982,,0.835,7.285,10.475,0,16.43,0.748,1.458,6.357,4.864,3.614,1.977,0.063,0.474,2.211,0.026,0.404,36,0.481,0.118,1.177,48.799,0.02,,0.501,,0.501,2.55,4.639,2.506,9.427,15.11,45.688,0.926,,7.396,0.182,,0.036,0.8,3.689,0.049,0.133,,2.434,7.721,2.751,3.762,5.242,,0.117,0.164,0.716,2.456,10.539,43.079,0.484,3.245,3.36,13.815,0.254,2.108,1.111,6.77,0.566,0.083,5.349,0.006,0.191,0.401
Y2001,17.1,,0.005,0.136,0.326,1.561,26.272,9.781,1.631,,8.899,52.689,39.185,0.306,0.106,31.288,0.363,0.158,0.13,7.612,15.039,11.8,1.201,4.301,,47.51,2.12,4.528,11.936,12.918,0.865,3.431,0.079,60.2,10.215,55.1,,19.1,2.64,0.396,0.277,0.032,2.854,0.443,2.685,9.559,8.358,1.08,,,18.819,14.697,31.651,0.344,13.245,42.958,4.429,0.646,2.779,7.252,2.837,16.406,2.67,0.839,27.345,0.158,18.149,31.527,0.037,25.3,0.257,43.105,1.858,26.326,43.247,4.661,1.348,33.481,0.992,0.2,0.176,1.337,0.3,0.165,10.935,5.128,35.464,1.738,25.38,13.207,31.418,38.671,1.415,0.258,11.559,0.341,14.529,2.019,,0.66,,23.139,1.484,0.1,49.393,17.379,27.222,3.863,4.706,38.532,1.006,0.62,3.003,0.077,2.337,7.715,56.6,,8.552,4.721,0.182,6.783,0.034,0.367,8.182,5.651,0.145,0.151,45.117,0.794,0.865,1.96,0.261,7.179,36.163,7.219,22.521,,1.371,46.646,1.488,0.223,3.617,2.077,7.038,1.707,2.134,3.468,0.186,17.878,0,1.141,,1.653,,0.16,0.261,8.781,0.164,26.696,50.162,2.417,18.237,0.105,0.09,1.449,49.373,8.917,64,0.24,53.241,38.067,33.451,5.894,2.13,1.319,7.268,7.579,2.524,,0.904,9.901,15.63,0,18.087,1.099,1.855,6.252,6.17,4.539,2.944,0.241,0.664,4.681,0.14,0.984,41.67,0.469,0.16,1.5,50.342,0.079,,0.641,,0.642,3.78,6.311,3.064,12.528,30.176,51.766,1.282,,11.015,0.354,,0.046,0.9,5.556,0.051,0.175,,2.825,15.385,4.298,5.189,,,0.171,0.238,1.239,3.527,11.121,49.081,0.598,5.095,4.636,18.376,1.266,2.831,1.837,8.096,1.69,0.091,6.347,0.011,0.233,0.8
